iter	Passed	Remaining
0	1	1306
1	3	1582
2	4	1430
3	5	1370
4	6	1311
5	7	1264
6	8	1229
7	10	1255
8	11	1253
9	12	1234
10	13	1218
11	14	1210
12	15	1203
13	16	1191
14	17	1179
15	19	1184
16	20	1179
17	21	1177
18	22	1169
19	23	1155
20	24	1157
21	26	1163
22	27	1157
23	28	1156
24	29	1151
25	30	1144
26	31	1140
27	32	1136
28	33	1131
29	34	1126
30	35	1123
31	36	1115
32	37	1111
33	39	1110
34	40	1105
35	41	1111
36	42	1116
37	44	1114
38	44	1108
39	46	1105
40	47	1101
41	48	1097
42	49	1092
43	49	1085
44	51	1084
45	52	1081
46	53	1078
47	54	1075
48	55	1071
49	56	1076
50	57	1071
51	58	1070
52	59	1068
53	60	1065
54	62	1065
55	63	1064
56	64	1062
57	65	1061
58	66	1060
59	67	1058
60	68	1055
61	69	1051
62	70	1047
63	71	1052
64	73	1050
65	74	1049
66	75	1047
67	76	1046
68	77	1044
69	78	1041
70	79	1037
71	80	1034
72	81	1031
73	82	1028
74	83	1025
75	84	1024
76	85	1021
77	86	1019
78	87	1023
79	88	1019
80	89	1017
81	90	1015
82	91	1012
83	92	1009
84	93	1007
85	94	1003
86	95	1001
87	96	998
88	97	996
89	98	993
90	99	994
91	100	991
92	101	994
93	103	993
94	104	991
95	105	989
96	106	986
97	106	983
98	107	979
99	108	977
100	109	978
101	110	976
102	111	974
103	112	971
104	113	968
105	114	965
106	115	962
107	116	964
108	118	967
109	119	965
110	120	963
111	121	960
112	122	958
113	122	954
114	123	953
115	124	951
116	125	950
117	126	948
118	127	945
119	128	943
120	129	941
121	130	939
122	132	941
123	133	941
124	134	940
125	135	937
126	136	935
127	136	933
128	137	931
129	138	929
130	139	927
131	140	925
132	141	924
133	142	922
134	143	920
135	144	918
136	145	915
137	146	914
138	147	916
139	149	916
140	150	914
141	151	912
142	151	908
143	152	906
144	153	904
145	154	902
146	155	902
147	156	899
148	157	898
149	158	896
150	159	895
151	159	892
152	160	889
153	161	889
154	163	889
155	164	888
156	165	886
157	165	884
158	166	882
159	167	881
160	168	876
161	168	872
162	169	871
163	170	868
164	171	867
165	171	864
166	172	862
167	173	861
168	174	859
169	175	858
170	177	860
171	178	858
172	179	856
173	179	853
174	180	851
175	181	850
176	182	848
177	183	847
178	184	846
179	185	844
180	186	842
181	187	840
182	191	854
183	193	857
184	194	856
185	195	857
186	197	857
187	198	857
188	199	856
189	200	856
190	201	855
191	202	853
192	203	850
193	204	850
194	205	847
195	206	848
196	207	847
197	209	849
198	210	848
199	211	845
200	212	845
201	214	845
202	215	845
203	216	844
204	217	843
205	218	841
206	219	840
207	220	840
208	222	842
209	223	842
210	225	843
211	226	842
212	227	839
213	228	840
214	229	838
215	230	835
216	231	834
217	231	831
218	232	830
219	233	828
220	234	826
221	235	824
222	238	829
223	240	831
224	240	829
225	241	827
226	242	826
227	244	826
228	245	826
229	246	823
230	247	822
231	247	820
232	248	818
233	249	816
234	251	819
235	252	818
236	254	818
237	255	819
238	256	817
239	258	818
240	259	816
241	259	814
242	260	811
243	262	812
244	263	810
245	263	808
246	264	805
247	264	803
248	265	801
249	267	801
250	269	803
251	271	804
252	272	803
253	273	802
254	274	801
255	275	801
256	277	801
257	277	798
258	278	796
259	278	793
260	279	791
261	282	795
262	283	793
263	284	792
264	285	792
265	287	794
266	289	794
267	289	791
268	290	790
269	291	789
270	292	787
271	293	785
272	294	783
273	294	781
274	296	782
275	298	784
276	300	783
277	301	782
278	302	782
279	303	781
280	304	780
281	305	777
282	306	776
283	307	774
284	308	773
285	309	772
286	311	772
287	313	773
288	314	773
289	315	771
290	316	771
291	317	770
292	318	768
293	320	768
294	321	768
295	322	765
296	322	763
297	323	763
298	325	762
299	327	763
300	329	764
301	330	764
302	332	763
303	332	761
304	333	759
305	334	758
306	335	757
307	336	756
308	338	756
309	338	753
310	340	753
311	341	753
312	342	752
313	344	752
314	346	753
315	347	751
316	348	751
317	350	750
318	351	750
319	352	749
320	353	748
321	354	747
322	356	747
323	358	748
324	360	748
325	361	747
326	362	746
327	364	746
328	365	745
329	366	744
330	367	743
331	369	742
332	370	742
333	373	744
334	374	743
335	376	743
336	377	743
337	379	742
338	380	741
339	381	741
340	382	740
341	384	739
342	385	738
343	388	740
344	389	739
345	391	739
346	392	738
347	393	738
348	395	737
349	396	736
350	397	735
351	398	732
352	399	731
353	400	731
354	402	731
355	404	731
356	405	730
357	406	729
358	408	729
359	409	728
360	410	727
361	412	726
362	413	724
363	414	723
364	415	723
365	418	724
366	419	723
367	421	723
368	422	722
369	423	721
370	424	720
371	426	719
372	427	718
373	428	717
374	429	716
375	431	716
376	433	716
377	435	716
378	436	715
379	437	714
380	439	713
381	440	712
382	441	711
383	442	710
384	443	709
385	445	707
386	446	707
387	448	707
388	450	707
389	451	706
390	452	705
391	454	704
392	455	703
393	456	702
394	457	701
395	459	700
396	460	699
397	462	699
398	464	699
399	465	698
400	466	697
401	468	696
402	469	695
403	470	694
404	472	693
405	473	692
406	474	691
407	475	690
408	477	690
409	479	690
410	481	690
411	483	689
412	484	688
413	485	687
414	487	686
415	489	686
416	490	685
417	491	684
418	493	684
419	495	683
420	496	683
421	498	682
422	499	681
423	500	680
424	502	679
425	503	678
426	504	677
427	505	675
